frequency,variable,count,experiments
3-hourly,isccp cloud area fraction,2,amip
3-hourly,precipitation flux,3,"rcp45, amip, historical, rcp85"
3-hourly,northward wind,4,"rcp45, piControl, historical, rcp85"
3-hourly,tendency of air temperature due to radiative heating,1,amip
3-hourly,downwelling shortwave flux in air,1,amip
3-hourly,land ice area fraction,2,"historical, rcp85"
3-hourly,wind speed,2,"amip, historical, rcp85"
3-hourly,surface air pressure,4,"amip, historical, rcp85"
3-hourly,surface temperature,2,amip
3-hourly,air temperature,5,"historicalExt, amip, historical, rcp85"
3-hourly,toa outgoing longwave flux,2,amip
3-hourly,tendency of air temperature,1,amip
Monthly,toa outgoing longwave flux assuming clear sky,24,"sstClimAerosol, rcp60, sstClim4xCO2, rcp26, sstClimSulfate, amip4xCO2, rcp45, 1pctCO2, aqua4xCO2, rcp85, abrupt4xCO2, historicalExt, historicalGHG, decadal, midHolocene, lgm, amip4K, historicalNat, amipFuture, piControl, sstClim, aqua4K, historicalMisc, aquaControl, historical, amip"
Monthly,downward sea ice basal salt flux,1,"amip, historical, piControl"
Monthly,ocean mixed layer thickness defined by sigma t,5,"rcp85, historicalNat, historical, historicalGHG, piControl, decadal"
Monthly,air pressure,28,"piControl, rcp60, aqua4xCO2, esmFdbk1, aqua4K, esmFixClim1, rcp26, 1pctCO2, amip4K, aquaControl, historicalMisc, historicalNat, rcp85, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, amip, abrupt4xCO2"
Monthly,geopotential height,45,"1pctCO2, amipFuture, rcp60, midHolocene, past1000, rcp26, piControl, amip4K, rcp85, historical, historicalGHG, amip4xCO2, rcp45, amip, abrupt4xCO2"
Monthly,tendency of air temperature due to advection,1,amip
Monthly,litter carbon content,4,"piControl, historical, rcp85"
Monthly,ocean volume,3,"1pctCO2, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Monthly,sea water salinity,25,"amip, rcp60, esmFdbk1, abrupt4xCO2, esmFixClim1, rcp26, esmrcp85, historicalNat, rcp85, historical, 1pctCO2, esmHistorical, historicalGHG, rcp45, piControl, decadal"
Monthly,global average sea level change,1,"1pctCO2, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Monthly,sea water potential temperature,45,"amip, rcp60, esmFdbk1, esmFixClim1, rcp26, rcp85, historicalMisc, historicalNat, esmrcp85, abrupt4xCO2, historical, 1pctCO2, esmHistorical, historicalGHG, rcp45, piControl, esmControl, decadal"
